275A Halifax            Canada              1996 44400N 063350W 0000 3 00000R MM
275A Hali  199602032 1590 1520 1170  790  640  440  470  440  690 1040 1430 1550
275A Hali  199602041 1780 1590 1390 1050  920  640  580  580  920 1150 1460 1700
275A Hali  199602042 1770 1730 1310 1070  740  550  410  340  410  750 1200 1600
275A Hali  199602051 1490 1640 1470 1160  830  810  460  630  590  890 1200 1530
275A Hali  199602052 1790 1640 1430 1220  980  550  440  340  280  700  860 1320
275A Hali  199602061 1470 1660 1510 1320  900  660  480  380  380  610  990 1340
275A Hali  199602062 1670 1730 1710 1370 1090  760  480  190  150  260  620  980
275A Hali  199602071 1330 1500 1540 1320 1040  690  480  270  250  420  630 1090
275A Hali  199602072 1380 1660 1620 1480 1180  810  490  270  120  150  410  750
275A Hali  199602081 1110 1430 1610 1530 1280  900  670  360  260  320  570  870
275A Hali  199602082 1210 1570 1720 1720 1470 1170  810  570  300  260  340  650
275A Hali  199602091 1030 1310 1550 1660 1470 1240  900  650  440  420  450  710
275A Hali  199602092 1080 1430 1720 1870 1720 1530 1130  900  690  520  580  700
275A Hali  199602101  980 1460 1730 1990 1930 1690 1360 1080  830  750  680  720
275A Hali  199602102  920 1260 1580 1870 1810 1700 1350 1070  800  700  610  600
275A Hali  199602111  770 1040 1460 1710 1830 1730 1490 1180  950  720  520  500
275A Hali  199602112  550  760 1020 1330 1530 1620 1420 1160  950  840  790  750
275A Hali  199602121  810  990 1320 1560 1880 2040 2010 1560 1230  980  820  710
275A Hali  199602122  600  720  950 1310 1640 1810 1680 1560 1370 1210 1010  830
275A Hali  199602131  750  760  920 1230 1590 1760 1820 1700 1470 1230  960  750
275A Hali  199602132  570  500  610  730 1080 1460 1610 1600 1330 1350 1120 1000
275A Hali  199602141  820  610  770  900 1250 1470 1660 1690 1660 1400 1180  910
275A Hali  199602142  680  420  230  340  550  950 1250 1430 1500 1450 1330 1090
275A Hali  199602151  890  770  680  700  980 1280 1710 1920 1990 1830 1780 1480
275A Hali  199602152 1100  770  350  260  340  590  860 1200 1410 1620 1550 1370
275A Hali  199602161 1220  900  760  580  570  780 1170 1450 1770 1810 1780 1630
275A Hali  199602162 1290  940  380  140   20  150  520  960 1330 1610 1680 1760
275A Hali  199602171 1580 1290 1180  710  630  630 1020 1260 1670 1860 2000 2050
275A Hali  199602172 1800 1500 1040  690  390  160  370  690 1110 1720 1930 2030
275A Hali  199602181 2040 1780 1320 1030  710  510  480  580  880 1330 1670 1790
275A Hali  199602182 1830 1550 1140  690  370  130   50  100  620 1060 1650 1850
275A Hali  199602191 1930 1880 1540 1150  590  320   80  120  300  760 1200 1550
275A Hali  199602192 1750 1610 1390  930  480  150 -150  -50   60  530 1050 1520
275A Hali  199602201 1830 1810 1590 1170  690  370   40 -130  -70  230  730 1230
275A Hali  199602202 1560 1670 1530 1180  790  350   20 -230 -250   30  550 1060
275A Hali  199602211 1540 1760 1740 1430 1080  650  320    0  -70    0  330  830
275A Hali  199602212 1220 1590 1590 1440 1050  620  230  -60 -180 -110  200  660
275A Hali  199602221 1160 1560 1730 1640 1330  990  610  360  190   90  270  630
275A Hali  199602222 1120 1540 1770 1740 1530 1150  810  480  260  150  220  520
275A Hali  199602231  980 1390 1730 1800 1620 1310  950  640  390  220  210  340
275A Hali  199602232  740 1100 1470 1630 1580 1310  960  640  420  310  270  330
275A Hali  199602241  640 1050 1510 1750 1750 1550 1290  960  670  490  420  420
275A Hali  199602242  520  890 1220 1530 1690 1530 1340 1030  800  660  610  560
275A Hali  199602251  730  930 1280 1660 1920 1820 1620 1310 1030  820  640  600
275A Hali  199602252  510  710 1030 1320 1660 1720 1660 1440 1210 1070  970  900
275A Hali  199602261  870  960 1160 1540 1750 1910 1810 1620 1330 1100  880  790
275A Hali  199602262  660  680  770 1060 1380 1580 1610 1500 1310 1140 1030  940
275A Hali  199602271  860  840  890 1120 1400 1620 1700 1620 1450 1250 1090  900
275A Hali  199602272  760  630  610  780 1050 1270 1460 1460 1370 1260 1140 1000
275A Hali  199602281  910  740  660  850 1040 1370 1420 1570 1490 1370 1220  970
275A Hali  199602282  860  660  570  610  750 1110 1310 1550 1480 1550 1480 1360
275A Hali  199602291 1250 1030  900  910  970 1190 1480 1560 1600 1620 1430 1320
275A Hali  199602292 1170  900  690  570  710  880 1140 1280 1380 1440 1460 1410
275A Hali  199603011 1170  980  800  670  650  780  960 1200 1330 1450 1400 1340
275A Hali  199603012 1110  940  690  530  480  540  720 1000 1220 1480 1530 1510
275A Hali  199603021 1360 1110  900  700  550  590  760  970 1260 1410 1510 1510
275A Hali  199603022 1330 1130  800  570  430  420  530  840 1140 1500 1670 1730
275A Hali  199603031 1820 1750 1510 1330 1260 1100 1180 1150 1150 1450 1460 1510
275A Hali  199603032 1290 1090  800  580  290  210  260  470  810 1270 1600 1830
275A Hali  199603041 1840 1790 1360 1170  850  590  450  440  520  870 1090 1210
275A Hali  199603042 1120  970  680  270   50 -180 -170    0  170  540  950 1290
275A Hali  199603051 1420 1290 1090  720  430  240   90  110  310  660  970 1290
275A Hali  199603052 1410 1360 1150  700  430  150   10   90  210  550 1020 1390
275A Hali  199603061 1690 1740 1600 1280  920  620  430  390  480  810 1120 1480
275A Hali  199603062 1690 1800 1720 1360 1030  620  380  300  340  600  990 1420
275A Hali  199603071 1690 1900 1770 1520 1120  770  590  390  330  470  770 1280
275A Hali  199603072 1560 1740 1800 1520 1220  790  600  360  330  440  710 1170
275A Hali  199603081 1530 1850 1910 1810 1400 1070  770  560  620  420  810 1230
275A Hali  199603082 1630 1980 2070 2070 1780 1360  950  720  600  740  850 1060
275A Hali  199603091 1600 1920 2070 1860 1620 1110  750  370  130  150  210  520
275A Hali  199603092  910 1220 1440 1620 1470 1230  870  620  410  300  400  620
275A Hali  199603101  940 1300 1540 1660 1510 1290  880  520  260  120  130  270
275A Hali  199603102  610  910 1240 1450 1510 1340 1070  770  470  370  290  400
275A Hali  199603111  600  940 1190 1410 1410 1280 1020  640  370  100  -50  -10
275A Hali  199603112   80  430  800 1090 1280 1280 1080  890  570  450  290  290
275A Hali  199603121  260  610 1020 1310 1480 1500 1350 1080  790  530  290  230
275A Hali  199603122  190  360  650 1010 1340 1420 1460 1290 1070  820  760  600
275A Hali  199603131  570  610  870 1190 1480 1630 1630 1500 1200 1050  760  600
275A Hali  199603132  420  330  510  780 1170 1460 1610 1560 1430 1270 1070  970
275A Hali  199603141  740  760  710  970 1280 1530 1740 1730 1580 1430 1070  910
275A Hali  199603142  580  410  280  390  760 1080 1400 1510 1520 1430 1290 1080
275A Hali  199603151  830  700  480  560  790 1160 1470 1680 1730 1640 1490 1230
275A Hali  199603152  930  600  350  320  430  800 1130 1490 1610 1700 1610 1480
275A Hali  199603161 1210  940  650  540  590  930 1290 1590 1860 1950 1900 1740
275A Hali  199603162 1420 1110  700  490  420  560  860 1280 1560 1720 1780 1730
275A Hali  199603171 1480 1100  780  500  370  420  680 1070 1470 1760 1880 1780
275A Hali  199603172 1620 1250  870  510  250  200  270  680 1130 1550 1780 1840
275A Hali  199603181 1660 1380 1030  690  430  250  330  620 1100 1560 1870 2010
275A Hali  199603182 1840 1610 1180  820  430  240  160  360  770 1310 1740 1920
275A Hali  199603191 1970 1720 1350  990  570  380  240  290  570 1070 1600 1860
275A Hali  199603192 1980 1770 1490  970  650  320  130  190  370  870 1400 1820
275A Hali  199603201 1940 1920 1620 1240  810  540  250  230  300  700 1170 1670
275A Hali  199603202 2020 2040 1790 1390 1030  760  510  310  440  740 1190 1720
275A Hali  199603211 2080 2210 2040 1700 1230  880  590  420  380  590  940 1510
275A Hali  199603212 1890 2080 2110 1780 1450 1110  740  430  480  580  860 1260
275A Hali  199603221 1750 2050 2170 1970 1550 1120  810  590  460  410  600  960
275A Hali  199603222 1500 1840 2000 1850 1570 1230  850  670  490  550  630  950
275A Hali  199603231 1350 1780 2060 1950 1700 1300  990  680  500  360  480  710
275A Hali  199603232 1110 1540 1800 1930 1760 1470 1090  870  700  680  670  810
275A Hali  199603241 1120 1490 1820 1920 1830 1580 1230  900  650  510  480  540
275A Hali  199603242  780 1120 1460 1690 1690 1530 1250  980  790  630  580  590
275A Hali  199603251  770 1050 1360 1570 1630 1460 1240  900  680  480  400  430
275A Hali  199603252  470  720 1030 1370 1490 1510 1290 1120  870  710  690  670
275A Hali  199603261  740  910 1100 1410 1520 1590 1340 1100  850  660  560  440
275A Hali  199603262  460  590  870 1150 1340 1420 1380 1200 1080  890  800  700
275A Hali  199603271  640  680  840 1150 1310 1430 1300 1220 1030  840  610  490
275A Hali  199603272  470  420  560  780 1030 1210 1240 1200 1110  980  840  770
275A Hali  199603281  630  600  650  780 1000 1160 1270 1290 1140  950  730  540
275A Hali  199603282  430  330  360  470  700  950 1070 1140 1100 1050  940  790
275A Hali  199603291  640  540  570  600  800  970 1200 1310 1330 1280 1140  980
275A Hali  199603292  830  680  570  660  840 1010 1220 1480 1540 1610 1440 1300
275A Hali  199603301 1070  930  820  780  900 1040 1300 1470 1550 1540 1470 1320
275A Hali  199603302 1090  870  680  600  670  870 1120 1340 1510 1600 1580 1500
275A Hali  199603311 1290 1080  880  740  730  840 1080 1370 1570 1650 1620 1490
275A Hali  199603312 1290 1030  750  600  550  620  810 1110 1440 1570 1710 1590
275A Hali  199604011 1470 1200  990  760  680  700  850 1100 1380 1570 1680 1630
275A Hali  199604012 1510 1210  890  640  460  510  610  860 1220 1520 1740 1740
275A Hali  199604021 1610 1390 1050  740  580  510  590  840 1150 1450 1660 1800
275A Hali  199604022 1700 1470 1130  800  590  480  570  720 1100 1520 1790 2010
275A Hali  199604031 1970 1850 1530 1160  860  720  700  860 1120 1470 1740 1890
275A Hali  199604032 1860 1710 1310  950  580  380  340  400  610 1020 1470 1770
275A Hali  199604041 1930 1790 1550 1220  790  560  420  530  670 1000 1370 1680
275A Hali  199604042 1890 1830 1550 1220  850  590  390  390  600  960 1410 1760
275A Hali  199604051 2010 2060 1910 1520 1120  720  540  480  520  770 1150 1600
275A Hali  199604052 1840 1950 1820 1520 1130  770  520  410  470  680  990 1430
275A Hali  199604061 1790 1950 1900 1570 1200  790  480  340  260  450  720 1210
275A Hali  199604062 1580 1890 1900 1710 1330 1030  720  510  490  510  800 1150
275A Hali  199604071 1560 1770 1900 1730 1410 1030  680  370  170  190  360  780
275A Hali  199604072 1150 1540 1750 1710 1470 1170  800  560  440  410  520  790
275A Hali  199604081 1230 1600 1880 1890 1680 1410 1050  770  470  340  430  640
275A Hali  199604082 1030 1430 1800 1940 1850 1650 1360 1100  870  770  720  870
275A Hali  199604091 1160 1540 1830 2040 2020 1790 1430 1090  720  520  390  420
275A Hali  199604092  630  980 1330 1620 1730 1610 1360 1080  910  700  610  520
275A Hali  199604101  610  930 1260 1570 1760 1680 1610 1210  940  700  480  440
275A Hali  199604102  480  760 1110 1500 1770 1980 1940 1610 1390 1140  920  800
275A Hali  199604111  740  840 1130 1440 1720 1910 1820 1690 1390 1170  910  670
275A Hali  199604112  540  570  770 1110 1470 1710 1800 1760 1610 1360 1160  870
275A Hali  199604121  700  590  710  920 1240 1520 1640 1610 1500 1280 1040  760
275A Hali  199604122  560  390  460  620 1020 1370 1650 1770 1730 1610 1390 1150
275A Hali  199604131  930  690  540  600  820 1180 1440 1610 1570 1510 1330 1020
275A Hali  199604132  710  440  290  250  520  880 1240 1510 1650 1620 1530 1320
275A Hali  199604141 1020  750  440  420  480  680 1050 1380 1550 1580 1520 1320
275A Hali  199604142 1040  740  390  200  270  540  910 1270 1570 1770 1780 1630
275A Hali  199604151 1370 1070  830  520  430  580  870 1310 1570 1790 1840 1770
275A Hali  199604152 1570 1150  820  530  420  380  620 1010 1500 1820 1920 1960
275A Hali  199604161 1800 1530 1090  740  540  390  600  800 1220 1580 1770 1800
275A Hali  199604162 1660 1380 1010  630  350  240  300  550 1040 1430 1750 1870
275A Hali  199604171 1820 1610 1180  820  540  280  280  410  870 1310 1720 1970
275A Hali  199604172 1940 1710 1410 1000  670  410  370  390  700 1140 1540 1910
275A Hali  199604181 1930 1780 1410 1050  660  380  210  230  420  810 1250 1650
275A Hali  199604182 1870 1840 1540 1170  780  530  330  330  470  760 1190 1590
275A Hali  199604191 1870 1850 1630 1240  830  460  270  150  190  440  830 1280
275A Hali  199604192 1620 1750 1640 1340  960  660  410  300  340  470  850 1200
275A Hali  199604201 1610 1750 1680 1400 1010  620  340  190   80  210  480  930
275A Hali  199604202 1330 1590 1670 1440 1180  830  590  460  370  460  600  990
275A Hali  199604211 1350 1590 1710 1460 1240  870  510  270   90  180  300  610
275A Hali  199604212 1070 1390 1620 1610 1380 1100  910  620  520  480  560  790
275A Hali  199604221 1090 1380 1640 1590 1450 1140  760  560  350  310  290  470
275A Hali  199604222  830 1110 1470 1570 1540 1310 1040  770  650  490  590  670
275A Hali  199604231  870 1120 1410 1530 1550 1320 1010  670  420  310  330  400
275A Hali  199604232  660  870 1210 1420 1550 1470 1230  990  800  720  630  720
275A Hali  199604241  750 1010 1290 1500 1580 1500 1260 1100  810  650  530  540
275A Hali  199604242  550  790 1090 1370 1530 1570 1420 1240 1150 1030  780  770
275A Hali  199604251  830  890 1120 1290 1470 1510 1400 1210  940  690  580  520
275A Hali  199604252  520  520  780 1030 1280 1410 1350 1290 1120  970  790  650
275A Hali  199604261  610  560  750  950 1150 1290 1330 1220 1090  870  680  550
275A Hali  199604262  480  490  610  830 1060 1270 1340 1360 1270 1110  950  780
275A Hali  199604271  670  630  650  790 1050 1180 1350 1350 1280 1120  980  750
275A Hali  199604272  590  460  520  630  860 1100 1210 1400 1320 1300 1150  950
275A Hali  199604281  720  650  570  630  800 1010 1260 1370 1360 1300 1120  940
275A Hali  199604282  680  500  360  390  600  790 1100 1180 1410 1390 1300 1120
275A Hali  199604291  820  620  540  420  530  740 1010 1210 1310 1250 1290 1080
275A Hali  199604292  850  530  330  270  330  560  760 1060 1330 1430 1380 1240
275A Hali  199604301 1050  790  480  320  310  480  720  960 1160 1350 1400 1300
275A Hali  199604302 1100  780  490  320  270  390  610  930 1300 1450 1490 1510
275A Hali  199605011 1250  970  610  380  210  270  460  730 1050 1360 1490 1470
275A Hali  199605012 1340 1100  850  530  300  320  480  830 1190 1490 1710 1670
275A Hali  199605021 1570 1250  980  580  330  150  270  490  870 1250 1490 1660
275A Hali  199605022 1560 1360 1070  710  490  270  280  460  850 1270 1630 1740
275A Hali  199605031 1730 1490 1120  760  370  160   50  220  510  940 1350 1580
275A Hali  199605032 1690 1550 1280  900  610  340  270  290  560  990 1380 1720
275A Hali  199605041 1840 1700 1400  990  560  270   50   20  170  500 1030 1490
275A Hali  199605042 1750 1710 1630 1240  870  630  430  290  440  720 1240 1600
275A Hali  199605051 1810 1920 1690 1440  920  680  240  100   40  280  760 1250
275A Hali  199605052 1650 1740 1760 1530 1160  780  530  390  260  440  740 1230
275A Hali  199605061 1680 1910 1830 1620 1250  870  440   60  -10  -30  260  670
275A Hali  199605062 1170 1530 1750 1590 1370 1000  770  510  350  290  460  850
275A Hali  199605071 1250 1610 1780 1770 1470 1120  710  340  110  -30   50  320
275A Hali  199605072  790 1240 1530 1700 1590 1340  990  690  510  380  360  480
275A Hali  199605081  800 1200 1580 1720 1630 1350 1030  620  330   70  -20   30
275A Hali  199605082  350  770 1210 1550 1590 1540 1260  970  750  500  400  330
275A Hali  199605091  480  760 1160 1520 1640 1560 1330 1000  730  390  230   80
275A Hali  199605092  200  430  880 1280 1540 1570 1440 1200  970  790  570  430
275A Hali  199605101  340  450  800 1150 1480 1570 1440 1290  960  660  420  150
275A Hali  199605102   80  140  370  820 1190 1380 1410 1370 1170  970  690  500
275A Hali  199605111  340  360  450  780 1140 1430 1560 1510 1340 1080  830  530
275A Hali  199605112  350  240  360  530  970 1310 1610 1640 1630 1510 1220  990
275A Hali  199605121  750  600  490  650  940 1220 1530 1710 1680 1590 1260 1100
275A Hali  199605122  700  580  370  500  840 1110 1410 1710 1890 1770 1730 1340
275A Hali  199605131 1060  730  520  570  650  950 1230 1590 1730 1620 1560 1250
275A Hali  199605132  990  660  470  330  390  620 1010 1380 1630 1710 1610 1390
275A Hali  199605141 1020  760  430  260  190  350  650 1010 1330 1480 1530 1380
275A Hali  199605142 1150  800  550  330  220  380  600  970 1360 1620 1690 1600
275A Hali  199605151 1360  910  600  340  140  120  290  720 1050 1310 1520 1520
275A Hali  199605152 1400 1080  760  470  290  230  340  660 1050 1450 1640 1680
275A Hali  199605161 1520 1240  850  540  180   90   60  300  690 1060 1380 1520
275A Hali  199605162 1490 1280 1010  670  460  310  280  410  740 1170 1510 1680
275A Hali  199605171 1660 1450 1120  750  380  150   20  140  380  790 1210 1510
275A Hali  199605172 1620 1500 1280  970  650  480  330  400  570  900 1290 1600
275A Hali  199605181 1730 1650 1380 1020  670  370  200  160  270  590  990 1420
275A Hali  199605182 1660 1750 1600 1300 1010  750  620  510  570  750 1120 1480
275A Hali  199605191 1770 1790 1660 1350 1000  630  410  240  270  480  720 1240
275A Hali  199605192 1440 1830 1610 1520 1180  890  710  650  660  650  880 1320
275A Hali  199605201 1650 1810 1750 1570 1270  920  630  390  440  410  640  950
275A Hali  199605202 1350 1750 1790 1590 1470 1150 1000  800  730  750  830 1190
275A Hali  199605211 1440 1800 1880 1730 1540 1120  860  600  460  410  570  790
275A Hali  199605212 1170 1410 1720 1710 1690 1400 1190  910  820  740  840  940
275A Hali  199605221 1260 1610 1710 1760 1690 1380 1030  840  490  480  550  600
275A Hali  199605222  980 1260 1560 1650 1620 1520 1290 1140  920  830  760  860
275A Hali  199605231 1040 1320 1540 1720 1560 1530 1130  980  710  580  510  520
275A Hali  199605232  750 1010 1390 1500 1690 1530 1410 1170 1040  910  840  800
275A Hali  199605241  780 1020 1290 1470 1590 1470 1310 1060  870  640  550  470
275A Hali  199605242  590  750 1070 1300 1600 1570 1500 1310 1140 1010  860  810
275A Hali  199605251  770  870 1060 1310 1490 1560 1450 1280 1050  850  650  560
275A Hali  199605252  520  540  790 1040 1340 1490 1490 1440 1280 1110  910  810
275A Hali  199605261  730  740  830 1040 1260 1450 1480 1410 1230 1010  840  660
275A Hali  199605262  540  520  660  860 1160 1390 1530 1560 1460 1320 1090  920
275A Hali  199605271  750  650  640  760 1030 1240 1410 1440 1380 1210 1020  830
275A Hali  199605272  670  580  550  680  950 1220 1520 1640 1630 1530 1310 1080
275A Hali  199605281  860  680  590  600  730 1030 1280 1410 1470 1380 1270 1040
275A Hali  199605282  780  570  510  510  690  950 1260 1520 1610 1610 1460 1260
275A Hali  199605291  980  710  460  480  500  720 1020 1270 1510 1500 1500 1280
275A Hali  199605292 1120  840  660  550  600  820 1160 1540 1770 1950 1880 1760
275A Hali  199605301 1430 1190  880  640  600  680  950 1300 1530 1710 1800 1670
275A Hali  199605302 1500 1150  860  660  570  630  880 1250 1600 1870 1940 1870
275A Hali  199605311 1650 1310  890  620  370  350  450  760 1160 1490 1750 1690
275A Hali  199605312 1610 1240 1040  640  490  470  490  880 1220 1690 1840 2000
275A Hali  199606011 1810 1540 1100  710  330  160  150  360  700 1100 1530 1650
275A Hali  199606012 1720 1500 1190  730  500  260  290  420  690 1200 1550 1850
275A Hali  199606021 1850 1660 1270  830  410  100  -70  -80  210  650 1140 1510
275A Hali  199606022 1690 1640 1430 1070  740  400  240  220  380  750 1190 1600
275A Hali  199606031 1770 1770 1520 1140  680  240  -80 -230 -110  210  680 1180
275A Hali  199606032 1530 1730 1660 1410 1000  690  420  250  250  440  850 1320
275A Hali  199606041 1680 1890 1790 1550 1130  690  280  -40  -80  -40  320  810
275A Hali  199606042 1270 1610 1730 1620 1320  950  640  370  270  260  480  870
275A Hali  199606051 1340 1740 1870 1790 1480 1090  650  310   20  -80   80  440
275A Hali  199606052  950 1380 1710 1740 1620 1330 1000  700  460  350  310  520
275A Hali  199606061  970 1380 1710 1740 1680 1380  990  630  310   70  -30  160
275A Hali  199606062  460 1000 1420 1690 1760 1570 1280  970  750  510  340  330
275A Hali  199606071  520  940 1360 1610 1690 1570 1290  980  650  340  120   50
275A Hali  199606072  170  550 1020 1420 1650 1650 1550 1280 1040  750  520  370
275A Hali  199606081  360  570  920 1310 1590 1640 1500 1270 1020  690  420  280
275A Hali  199606082  220  280  700 1100 1440 1640 1640 1490 1300 1030  800  540
275A Hali  199606091  350  340  540  890 1190 1470 1510 1400 1210  930  680  450
275A Hali  199606092  260  220  320  650 1060 1370 1630 1570 1490 1250  990  760
275A Hali  199606101  500  290  300  410  750 1130 1360 1460 1350 1170  910  690
275A Hali  199606102  430  270  280  340  700 1030 1410 1560 1610 1440 1220  940
275A Hali  199606111  670  430  270  290  400  760 1070 1360 1460 1400 1250 1030
275A Hali  199606112  760  550  430  400  540  830 1210 1530 1760 1730 1610 1370
275A Hali  199606121 1060  770  510  340  370  560  900 1270 1500 1590 1540 1400
275A Hali  199606122 1150  870  650  490  470  590  900 1290 1580 1710 1690 1510
275A Hali  199606131 1290  920  660  340  320  320  530  900 1270 1500 1550 1540
275A Hali  199606132 1320 1120  810  630  490  430  620  940 1330 1610 1780 1670
275A Hali  199606141 1480 1160  850  550  310  230  320  590  930 1330 1560 1640
275A Hali  199606142 1560 1340 1100  820  650  560  580  780 1100 1480 1730 1790
275A Hali  199606151 1700 1450 1140  800  500  300  260  380  670 1040 1380 1620
275A Hali  199606152 1650 1550 1290 1020  770  630  540  660  880 1210 1570 1760
275A Hali  199606161 1820 1640 1400 1010  640  460  310  320  460  780 1130 1500
275A Hali  199606162 1620 1620 1480 1190  910  620  560  560  680  910 1240 1530
275A Hali  199606171 1700 1700 1490 1170  820  530  320  230  260  470  870 1260
275A Hali  199606172 1490 1620 1590 1380 1110  800  690  580  640  750 1070 1370
275A Hali  199606181 1680 1760 1680 1440 1110  770  440  330  270  430  670 1050
275A Hali  199606182 1360 1600 1670 1540 1290  950  790  640  590  620  830 1160
275A Hali  199606191 1450 1670 1680 1540 1270  940  620  390  280  300  440  810
275A Hali  199606192 1140 1460 1580 1580 1370 1150  920  710  620  590  720  940
275A Hali  199606201 1220 1480 1620 1600 1400 1060  780  540  400  320  410  630
275A Hali  199606202  970 1270 1560 1680 1570 1340 1080  850  740  690  720  790
