BOTTLE,20001102WHPSIOJJW
#code : jjward hyd_to_exchange.pl V1.0
#original files copied from HTML directory: 2000.09.25
#original HYD file: a03hy.txt   Fri Oct 27 14:26:11 2000
#original SUM file: a03su.txt   Mon Sep 25 14:38:01 2000
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRIT,NITRIT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PHSPHT,PHSPHT_FLAG_W
,,,,,,,,,,,,DBAR,IPTS-68,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,
      RUCT40_1,   A03,     6,  1,     16,     16,2,19930924,0419, 36.5383,  -8.7383, 1567,    300.5,  13.3327,  35.8633,2,  35.8638,2,    219.2,2,     4.95,2,     0.04,2,     9.91,2,     0.61,2
      RUCT40_1,   A03,     6,  1,     15,     15,2,19930924,0419, 36.5383,  -8.7383, 1567,    400.2,  12.2152,  35.6890,2,  35.6905,2,    217.9,2,     6.20,2,     0.03,2,    12.46,2,     0.80,2
      RUCT40_1,   A03,     6,  1,     14,     14,2,19930924,0419, 36.5383,  -8.7383, 1567,    500.2,  11.2966,  35.5772,2,  35.5808,2,    212.3,2,     7.75,2,     0.02,2,    14.83,2,     0.92,2
      RUCT40_1,   A03,     6,  1,     13,     12,2,19930924,0419, 36.5383,  -8.7383, 1567,    599.2,  10.7357,  35.5884,2,  35.5845,2,    187.9,2,    10.16,2,  -999.00,5,    17.48,2,     1.10,2
      RUCT40_1,   A03,     6,  1,     12,     13,2,19930924,0419, 36.5383,  -8.7383, 1567,    637.8,  11.3835,  35.8270,3,  35.8181,2,    226.1,2,     9.26,2,  -999.00,5,    15.77,2,     0.98,2
      RUCT40_1,   A03,     6,  1,     11,     11,3,19930924,0419, 36.5383,  -8.7383, 1567,    668.4,  10.9342,  35.8198,2,  35.8400,2,    187.4,2,    10.51,2,  -999.00,5,    16.64,2,     1.04,2
      RUCT40_1,   A03,     6,  1,     10,     10,2,19930924,0419, 36.5383,  -8.7383, 1567,    748.9,  12.1702,  36.2390,2,  36.2396,2,    218.6,2,     8.00,2,  -999.00,5,    13.17,2,     0.79,2
      RUCT40_1,   A03,     6,  1,      9,      9,2,19930924,0419, 36.5383,  -8.7383, 1567,    847.1,  12.2153,  36.2864,2,  36.2886,2,    229.4,3,     7.95,2,  -999.00,5,    13.07,2,     0.78,2
      RUCT40_1,   A03,     6,  1,      8,      8,2,19930924,0419, 36.5383,  -8.7383, 1567,    944.9,  12.6698,  36.5375,2,  36.5344,2,    165.5,3,     7.61,2,  -999.00,5,    11.73,2,     0.68,2
      RUCT40_1,   A03,     6,  1,      7,      7,2,19930924,0419, 36.5383,  -8.7383, 1567,   1045.7,  12.8024,  36.6287,2,  36.6247,2,    198.4,2,     7.46,2,  -999.00,5,    11.17,2,     0.67,2
